date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2013-08-17,Rizespor,Gençlerbirliği,1,0,Super Lig,,Turkey,False
2013-08-18,Akhisar Belediyespor,Elazigspor,3,1,Super Lig,,Turkey,False
2013-08-18,Beşiktaş,Trabzonspor,2,0,Super Lig,,Turkey,False
2013-08-18,Eskisehirspor,Bursaspor,2,0,Super Lig,,Turkey,False
2013-08-19,Galatasaray,Gaziantepspor,2,1,Super Lig,,Turkey,False
2013-08-19,Kayserispor,Sivasspor,1,0,Super Lig,,Turkey,False
2013-08-23,Gençlerbirliği,Akhisar Belediyespor,3,0,Super Lig,,Turkey,False
2013-08-24,Fenerbahçe,Eskisehirspor,1,0,Super Lig,,Turkey,False
2013-08-24,Gaziantepspor,Antalyaspor,0,0,Super Lig,,Turkey,False
2013-08-24,Kasımpaşa,Kayserispor,3,1,Super Lig,,Turkey,False
2013-08-25,Bursaspor,Galatasaray,1,1,Super Lig,,Turkey,False
2013-08-25,Elazigspor,Karabukspor,2,2,Super Lig,,Turkey,False
2013-08-25,Sivasspor,Konyaspor,2,0,Super Lig,,Turkey,False
2013-08-26,Erciyesspor,Beşiktaş,2,4,Super Lig,,Turkey,False
2013-08-26,Trabzonspor,Rizespor,2,1,Super Lig,,Turkey,False
2013-08-30,Eskisehirspor,Galatasaray,0,0,Super Lig,,Turkey,False
2013-08-30,Konyaspor,Kasımpaşa,1,2,Super Lig,,Turkey,False
2013-08-31,Antalyaspor,Bursaspor,1,2,Super Lig,,Turkey,False
2013-08-31,Fenerbahçe,Sivasspor,5,2,Super Lig,,Turkey,False
2013-08-31,Kayserispor,Elazigspor,1,3,Super Lig,,Turkey,False
2013-09-01,Akhisar Belediyespor,Trabzonspor,3,0,Super Lig,,Turkey,False
2013-09-01,Beşiktaş,Gaziantepspor,2,0,Super Lig,,Turkey,False
2013-09-01,Karabukspor,Gençlerbirliği,1,0,Super Lig,,Turkey,False
